,image,description,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
13837,https://www.wga.hu/detail/f/fantuzzi/holyfami.jpg,['\r\nThis print was made after Rosso Fiorentino.\r\n\r\n\n'],"FANTUZZI, Antonio",(active 1537-1550 in Fontainebleau),Holy Family,1540-45,"Etching, 328 x 267 mm","Metropolitan Museum of Art, New York",graphics,religious,Italian,1501-1550,This print was made after Rosso Fiorentino.
13901,https://www.wga.hu/detail/f/faydherb/lucas/2/hanswij4.jpg,['\r\nThe photo shows the dome.\r\n\r\n\n'],"FAYDHERBE, Lucas","(b. 1617, Mechelen, d. 1697, Mechelen)",Exterior view,1663-81,Photo,"Onze-Lieve-Vrouw van Hanswijkkerk, Mechelen",architecture,other,Flemish,1651-1700,The photo shows the dome.
13977,https://www.wga.hu/detail/f/fernande/gregorio/huelgas.jpg,['\r\nThis is the central panel of an altarpiece.\r\n\r\n\n'],"FERNÁNDEZ, Gregorio","(b. ca. 1576, d. 1636, Valladolid)",Adoration of the Shepherds,1614-16,"Polychrome wood, 187 x 102 cm","Monasterio de las Huelgas, Valladolid",sculpture,religious,Spanish,1601-1650,This is the central panel of an altarpiece.
14204,https://www.wga.hu/detail/f/flegel/still_fi.jpg,['\r\nThis is a vanity still-life.\r\n\r\n\n'],"FLEGEL, Georg","(b. 1566, Olomouc, d. 1638, Frankfurt am Main)",Still-Life with Fish,1637,"Oil on wood, 19 x 15 cm","Musée du Louvre, Paris",painting,still-life,German,1601-1650,This is a vanity still-life.
14342,https://www.wga.hu/detail/f/fontebas/1zenob07.jpg,['\r\nThe detail shows the guests.\r\n\r\n\n'],"FONTEBASSO, Francesco","(b. 1707, Venezia, d. 1769, Venezia)",The Banquet of Zenobia (detail),1745-50,Fresco,"Villa Zenobio, Santa Bona Nuova",painting,mythological,Italian,1701-1750,The detail shows the guests.
14385,https://www.wga.hu/detail/f/fortini/grotta2.jpg,['\r\nThe picture shows the vault.\r\n\r\n\n'],"FORTINI, Davide",(d. 1590),Grotta di Madama,1553-55,Photo,"Boboli Gardens, Florence",painting,other,Italian,1551-1600,The picture shows the vault.
14453,https://www.wga.hu/detail/f/fragonar/father/1/03storm.jpg,['\r\nThis painting is also known as The Bogged Cart.\r\n\r\n\n'],"FRAGONARD, Jean-Honoré","(b. 1732, Grasse, d. 1806, Paris)",The Storm,c. 1759,"Oil on canvas, 73 x 97 cm","Musée du Louvre, Paris",painting,landscape,French,1751-1800,This painting is also known as The Bogged Cart.
14463,https://www.wga.hu/detail/f/fragonar/father/1/07beggar.jpg,"[""\r\nThe painting is also known as The Beggar's Dream.\r\n\r\n\n""]","FRAGONARD, Jean-Honoré","(b. 1732, Grasse, d. 1806, Paris)",Night Scene,1765-68,"Oil on canvas, 74 x 92 cm","Musée du Louvre, Paris",painting,genre,French,1751-1800,The painting is also known as The Beggar's Dream.
14534,https://www.wga.hu/detail/f/franceso/012/clare2.jpg,"[""\r\nThe detail shows Christ's head and right hand.\r\n\r\n\n""]",FRANCESCO DA RIMINI,(active 1320-1348 in Rimini),The Vision of the Blessed Clare of Rimini (detail),1333-40,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows Christ's head and right hand.
14535,https://www.wga.hu/detail/f/franceso/012/clare3.jpg,"[""\r\nThe detail shows St John the Baptist's head.\r\n\r\n\n""]",FRANCESCO DA RIMINI,(active 1320-1348 in Rimini),The Vision of the Blessed Clare of Rimini (detail),1333-40,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows St John the Baptist's head.
14597,https://www.wga.hu/detail/f/francesc/5archite/3tratta2.jpg,['\r\nThe picture shows plans for transport machines.\r\n\r\n\n'],FRANCESCO DI GIORGIO MARTINI,"(b. 1439, Siena, d. 1502, Siena)",Illustrations from the Trattato di architettura,-,Drawing,"Biblioteca Nazionale, Turin",graphics,study,Italian,1451-1500,The picture shows plans for transport machines.
14599,https://www.wga.hu/detail/f/francesc/5archite/3tratta4.jpg,['\r\nThe illustration shows antique temples.\r\n\r\n\n'],FRANCESCO DI GIORGIO MARTINI,"(b. 1439, Siena, d. 1502, Siena)",Illustrations from the Trattato di architettura,c. 1470,Drawing,"Biblioteca Nazionale, Turin",graphics,study,Italian,1451-1500,The illustration shows antique temples.
14709,https://www.wga.hu/detail/f/fremiet/bearcubs.jpg,['\r\nThis work was exhibited at the Salon of 1867.\r\n\r\n\n'],"FRÉMIET, Emmanuel","(b. 1824, Paris, d. 1910, Paris)",Pan with Bear Cubs,1867,"Marble, 82 x 182 cm","Musée d'Orsay, Paris",sculpture,mythological,French,1851-1900,This work was exhibited at the Salon of 1867.
14710,https://www.wga.hu/detail/f/fremiet/bloodhou.jpg,['\r\nThe bronze group is on a green marble base.\r\n\r\n\n'],"FRÉMIET, Emmanuel","(b. 1824, Paris, d. 1910, Paris)",Two Seated Bloodhounds,-,"Bronze, height 31 cm (overall)",Private collection,sculpture,other,French,1851-1900,The bronze group is on a green marble base.
14777,https://www.wga.hu/detail/f/friedric/5/505fried.jpg,['\r\nThis drawing represents the father of the artist.\r\n\r\n\n'],"FRIEDRICH, Caspar David","(b. 1774, Greifswald, d. 1840, Dresden)","Adolf Gottlieb Friedrich, Reading",1802,"Black chalk, 346 x 320 mm","Kunsthalle, Mannheim",graphics,portrait,German,1801-1850,This drawing represents the father of the artist.
14865,https://www.wga.hu/detail/f/fyt/stil_dog.jpg,['\r\nThe painting is signed.\r\n\r\n\n'],"FYT, Jan","(b. 1611, Antwerpen, d. 1661, Antwerpen)",Still-life with Dog and Cat,-,"Oil on panel, 77 x 112 cm","Museo del Prado, Madrid",painting,still-life,Flemish,1601-1650,The painting is signed.
14891,https://www.wga.hu/detail/g/gabriel/ecolemi5.jpg,['\r\nThe photo shows the entire complex.\r\n\r\n\n'],"GABRIEL, Ange-Jacques","(b. 1698, Paris, d. 1782, Paris)",Aerial view,1751-68,Photo,"École Militaire, Paris",architecture,other,French,1701-1750,The photo shows the entire complex.
14914,https://www.wga.hu/detail/g/gaddi/agnolo/various/coronati1.jpg,['\r\nThe detail shows the head of the Virgin.\r\n\r\n\n'],"GADDI, Agnolo","(b. ca. 1350, Firenze, d. 1396, Firenze)",Coronation of the Virgin (detail),1380-85,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows the head of the Virgin.
14915,https://www.wga.hu/detail/g/gaddi/agnolo/various/coronati2.jpg,['\r\nThe detail shows the head of the Christ.\r\n\r\n\n'],"GADDI, Agnolo","(b. ca. 1350, Firenze, d. 1396, Firenze)",Coronation of the Virgin (detail),1380-85,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows the head of the Christ.
14916,https://www.wga.hu/detail/g/gaddi/agnolo/various/coronati3.jpg,['\r\nThe detail shows one of the kneeling angels..\r\n\r\n\n'],"GADDI, Agnolo","(b. ca. 1350, Firenze, d. 1396, Firenze)",Coronation of the Virgin (detail),1380-85,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows one of the kneeling angels..
15105,https://www.wga.hu/detail/g/garnierc/opera2.jpg,['\r\nThe photo shows the west façade of the building.\r\n\r\n\n'],"GARNIER, Charles","(b. 1825, Paris, d. 1898, Paris)",Exterior view,1861-74,Photo,"Opéra Garnier, Paris",architecture,other,French,1851-1900,The photo shows the west façade of the building.
15119,https://www.wga.hu/detail/g/garofalo/virgin1.jpg,['\r\nThe detail shows the figure of Archangel Michael.\r\n\r\n\n'],GAROFALO,"(b. 1481, Ferrara, d. 1559, Ferrara)",Virgin and Child with Saints (detail),1530-32,Oil on wood,"Galleria Borghese, Rome",painting,religious,Italian,1501-1550,The detail shows the figure of Archangel Michael.
15198,https://www.wga.hu/detail/g/gaudi/2casa/casa_batllo05.jpg,['\r\nThe photo shows the rear courtyard.\r\n\r\n\n'],"GAUDÍ, Antoni","(b. 1852, Reus, d. 1926, Barcelona)",Casa Batlló: interior,1904-06,Photo,"Passeig de Gràcia, 43, Barcelona",architecture,interior,Catalan,1851-1900,The photo shows the rear courtyard.
15199,https://www.wga.hu/detail/g/gaudi/2casa/casa_batllo06.jpg,['\r\nThe photo shows the fireplace with seat.\r\n\r\n\n'],"GAUDÍ, Antoni","(b. 1852, Reus, d. 1926, Barcelona)",Casa Batlló: Fireplace Room,1904-06,Photo,"Passeig de Gràcia, 43, Barcelona",architecture,interior,Catalan,1851-1900,The photo shows the fireplace with seat.
15304,https://www.wga.hu/detail/g/gauguin/06/tahiti75.jpg,"[""\r\nThis is one of Gauguin's last works at Tahiti.\r\n\r\n\n""]","GAUGUIN, Paul","(b. 1848, Paris, d. 1903, Atuona, Hiva Oa, French Polynesia)",Tahitian Woman,1900,"Pastel, 56 x 50 cm","Brooklyn Museum, New York",painting,portrait,French,1851-1900,This is one of Gauguin's last works at Tahiti.
15397,https://www.wga.hu/detail/g/geldorp/father/portrait.jpg,"['\r\nThe painting is dated ""Anno DNI 1620"".\r\n\r\n\n']","GELDORP, Gortzius","(b. 1553, Leuven, d. after 1619, Köln)",Portrait of a Man,1620,"Oil on canvas, 71 x 58 cm",Private collection,painting,portrait,Flemish,1551-1600,The painting is dated Anno DNI 1620.
15520,https://www.wga.hu/detail/g/gericaul/1/104gerid.jpg,['\r\nThe painting is known as The Man from Vendée.\r\n\r\n\n'],"GÉRICAULT, Théodore","(b. 1791, Rouen, d. 1824, Paris)",Portrait of a Man,1815-19,"Oil on canvas, 81 x 54 cm","Musée du Louvre, Paris",painting,portrait,French,1801-1850,The painting is known as The Man from Vendée.
15611,https://www.wga.hu/detail/g/gherardu/1angel12.jpg,"['\r\nThis figured initial ""I"" is from Choir Book 19.\r\n\r\n\n']","GHERARDUCCI, Don Silvestro dei","(b. 1339, Firenze, d. 1399, Firenze)",Gradual from Santa Maria degli Angeli,1370s,Tempera and gold on parchment,"Biblioteca Medicea Laurenziana, Florence",illumination,religious,Italian,1351-1400,This figured initial I is from Choir Book 19.
15760,https://www.wga.hu/detail/g/ghirland/domenico/4lastsup/2ogniss1.jpg,['\r\nThe picture shows the left part of the fresco.\r\n\r\n\n'],"GHIRLANDAIO, Domenico","(b. 1449, Firenze, d. 1494, Firenze)",Last Supper (detail),1480,Fresco,"Ognissanti, Florence",painting,religious,Italian,1451-1500,The picture shows the left part of the fresco.
15761,https://www.wga.hu/detail/g/ghirland/domenico/4lastsup/2ogniss2.jpg,['\r\nThe picture shows the right part of the fresco.\r\n\r\n\n'],"GHIRLANDAIO, Domenico","(b. 1449, Firenze, d. 1494, Firenze)",Last Supper (detail),1480,Fresco,"Ognissanti, Florence",painting,religious,Italian,1451-1500,The picture shows the right part of the fresco.
15829,https://www.wga.hu/detail/g/ghirland/domenico/6tornab/62tornab/1appear1.jpg,['\r\nThis detail shows numerous contemporary portraits.\r\n\r\n\n'],"GHIRLANDAIO, Domenico","(b. 1449, Firenze, d. 1494, Firenze)",Angel Appearing to Zacharias (detail),1486-90,Fresco,"Cappella Tornabuoni, Santa Maria Novella, Florence",painting,religious,Italian,1451-1500,This detail shows numerous contemporary portraits.
15832,https://www.wga.hu/detail/g/ghirland/domenico/6tornab/62tornab/1appear4.jpg,['\r\nThis detail shows numerous contemporary portraits.\r\n\r\n\n'],"GHIRLANDAIO, Domenico","(b. 1449, Firenze, d. 1494, Firenze)",Angel Appearing to Zacharias (detail),1486-90,Fresco,"Cappella Tornabuoni, Santa Maria Novella, Florence",painting,religious,Italian,1451-1500,This detail shows numerous contemporary portraits.
16130,https://www.wga.hu/detail/g/giordano/1/lazarus.jpg,['\r\nGiordano treated this subject five times.\r\n\r\n\n'],"GIORDANO, Luca","(b. 1634, Napoli, d. 1705, Napoli)",Raising of Lazarus,c. 1675,"Oil on canvas, 256 x 362 cm",Private collection,painting,religious,Italian,1651-1700,Giordano treated this subject five times.
16256,https://www.wga.hu/detail/g/giotto/assisi/lower/magdalen/speaking.jpg,['\r\nThis painting is in the lunette.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",Scenes from the Life of Mary Magdalen: Mary Magdalen Speaking to the Angels,1320s,Fresco,"Magdalen Chapel, Lower Church, San Francesco, Assisi",painting,religious,Italian,1301-1350,This painting is in the lunette.
16281,https://www.wga.hu/detail/g/giotto/assisi/upper/legend/franc061.jpg,['\r\nThe detail shows Saint Francis.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",Legend of St Francis: 6. Dream of Innocent III (detail),1297-99,Fresco,"Upper Church, San Francesco, Assisi",painting,religious,Italian,1301-1350,The detail shows Saint Francis.
16308,https://www.wga.hu/detail/g/giotto/assisi/upper/new_test/02ascens.jpg,['\r\nThis fresco is strongly damaged.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",Ascension of Christ,c. 1300,Fresco,"Upper Church, San Francesco, Assisi",painting,religious,Italian,1301-1350,This fresco is strongly damaged.
16362,https://www.wga.hu/detail/g/giotto/padova/3christ/chris051.jpg,['\r\nKing Herod appears in the painting himself.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",No. 21 Scenes from the Life of Christ: 5. Massacre of the Innocents (detail),1304-06,Fresco,"Cappella Scrovegni (Arena Chapel), Padua",painting,religious,Italian,1301-1350,King Herod appears in the painting himself.
16423,https://www.wga.hu/detail/g/giotto/padova/5angels/angel03.jpg,['\r\nThe picture shows an angel in the scene Nativity.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",No. 17 Scenes from the Life of Christ: 1. Nativity: Birth of Christ (detail),1304-06,Fresco,"Cappella Scrovegni (Arena Chapel), Padua",painting,religious,Italian,1301-1350,The picture shows an angel in the scene Nativity.
16524,https://www.wga.hu/detail/g/giotto/s_croce/1peruzzi/baptis31.jpg,['\r\nThe detail show the musician accompanying Salome.\r\n\r\n\n'],GIOTTO di Bondone,"(b. 1267, Vespignano, d. 1337, Firenze)",Scenes from the Life of St John the Baptist: 3. Feast of Herod (detail),c. 1315,Fresco,"Peruzzi Chapel, Santa Croce, Florence",painting,religious,Italian,1301-1350,The detail show the musician accompanying Salome.
16643,https://www.wga.hu/detail/g/giovanni/milano/panels/altar5.jpg,['\r\nThe detail shows St John the Baptist.\r\n\r\n\n'],GIOVANNI DA MILANO,"(active 1350-69, Milano, Firenze)",Three pinnacle panels (detail),c. 1365,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows St John the Baptist.
16647,https://www.wga.hu/detail/g/giovanni/milano/panels/christv2.jpg,"[""\r\nThe detail shows the Virgin's head.\r\n\r\n\n""]",GIOVANNI DA MILANO,"(active 1350-69, Milano, Firenze)",Christ and the Virgin Enthroned with Six Saints (detail),1350-55,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the Virgin's head.
16648,https://www.wga.hu/detail/g/giovanni/milano/panels/christv3.jpg,['\r\nThe detail shows St Lawrence..\r\n\r\n\n'],GIOVANNI DA MILANO,"(active 1350-69, Milano, Firenze)",Christ and the Virgin Enthroned with Six Saints (detail),1350-55,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows St Lawrence..
16757,https://www.wga.hu/detail/g/giovanni/balducci/1/8virtue41.jpg,['\r\nThe detail shows the head of Prudence.\r\n\r\n\n'],GIOVANNI DI BALDUCCIO,(active 1315-1349),Shrine of St Peter Martyr: Prudence (detail),1335-39,Marble,"Cappella Portinari, Sant'Eustorgio, Milan",sculpture,religious,Italian,1301-1350,The detail shows the head of Prudence.
16830,https://www.wga.hu/detail/g/giovanni/paolo/1/triptych.jpg,['\r\nThis painting is the central panel of a triptych.\r\n\r\n\n'],GIOVANNI DI PAOLO,"(b. ca. 1399, Siena, d. 1482, Siena)",The Nativity,1470s,"Tempera on poplar panel, gold ground","Musée du Petit Palais, Avignon",painting,religious,Italian,1451-1500,This painting is the central panel of a triptych.
16959,https://www.wga.hu/detail/g/giulio/1pala_te/psyche/2north1.jpg,['\r\nThis scene is on the left side of the north wall.\r\n\r\n\n'],GIULIO ROMANO,"(b. ca. 1499, Roma, d. 1546, Mantova)",Venus and Mars Bathing,1526-28,Fresco,"Sala di Psiche, Palazzo del Tè, Mantua",painting,mythological,Italian,1501-1550,This scene is on the left side of the north wall.
16960,https://www.wga.hu/detail/g/giulio/1pala_te/psyche/2north2.jpg,['\r\nThis scene is on the right side of the north wall.\r\n\r\n\n'],GIULIO ROMANO,"(b. ca. 1499, Roma, d. 1546, Mantova)",Mars Chasing Adonis from Venus's Pavilion,1526-28,Fresco,"Sala di Psiche, Palazzo del Tè, Mantua",painting,mythological,Italian,1501-1550,This scene is on the right side of the north wall.
16978,https://www.wga.hu/detail/g/giulio/1pala_te/view6.jpg,['\r\nThe photo shows the east façade of the courtyard.\r\n\r\n\n'],GIULIO ROMANO,"(b. ca. 1499, Roma, d. 1546, Mantova)",View of the Palazzo del Tè,1526-34,Photo,"Palazzo del Tè, Mantua",architecture,other,Italian,1501-1550,The photo shows the east façade of the courtyard.
16979,https://www.wga.hu/detail/g/giulio/1pala_te/view7.jpg,['\r\nThe photo shows the east façade of the courtyard.\r\n\r\n\n'],GIULIO ROMANO,"(b. ca. 1499, Roma, d. 1546, Mantova)",View of the Palazzo del Tè,1526-34,Photo,"Palazzo del Tè, Mantua",architecture,other,Italian,1501-1550,The photo shows the east façade of the courtyard.
16989,https://www.wga.hu/detail/g/giulio/2archite/lante3.jpg,['\r\nThe photo shows the loggia side from Trastevere.\r\n\r\n\n'],GIULIO ROMANO,"(b. ca. 1499, Roma, d. 1546, Mantova)",Exterior view,1520-21,Photo,"Villa Lante al Gianicolo, Rome",architecture,other,Italian,1501-1550,The photo shows the loggia side from Trastevere.
17075,https://www.wga.hu/detail/g/goes/1/donor_s.jpg,['\r\nThe panel is the right wing of a diptych.\r\n\r\n\n'],"GOES, Hugo van der","(b. ca. 1440, Ghent, d. 1482, Bruxelles)",Portrait of a Donor with St John the Baptist,1478-80,"Wood, 23,2 x 22,5 cm","Walters Art Museum, Baltimore",painting,religious,Flemish,1451-1500,The panel is the right wing of a diptych.
17085,https://www.wga.hu/detail/g/goes/calvary/calvar23.jpg,['\r\nThe picture shows a detail of the central panel.\r\n\r\n\n'],"GOES, Hugo van der","(b. ca. 1440, Ghent, d. 1482, Bruxelles)",Calvary Triptych (detail),1465-68,Oil on wood,"Cathedral of St Bavo, Ghent",painting,religious,Flemish,1451-1500,The picture shows a detail of the central panel.
17119,https://www.wga.hu/detail/g/gogh_van/01/2hague01.jpg,"['\nCatalogue numbers: F 12, JH 185.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Man Digging,"August 1882, The Hague","Oil on paper on panel, 30 x 29 cm",Private collection,painting,study,Dutch,1851-1900,"Catalogue numbers: F 12, JH 185."
17120,https://www.wga.hu/detail/g/gogh_van/01/2hague02.jpg,"['\nCatalogue numbers: F 192, JH 184.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Edge of a Wood,"August 1882, The Hague","Oil on canvas, 35 x 49 cm","Rijksmuseum Kröller-Müller, Otterlo",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 192, JH 184."
17122,https://www.wga.hu/detail/g/gogh_van/01/2hague04.jpg,"['\nCatalogue numbers: F 186, JH 361.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Bulb Fields,"April 1883, The Hague","Oil on canvas on panel, 48 x 65 cm","National Gallery of Art, Washington",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 186, JH 361."
17123,https://www.wga.hu/detail/g/gogh_van/01/2hague05.jpg,"['\nCatalogue numbers: F 16, JH 391.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Farmhouses in Loosduinen near The Hague at Twilight,"August 1883, The Hague","Oil on canvas on panel, 33 x 50 cm","Centraal Museum, Utrecht",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 16, JH 391."
17124,https://www.wga.hu/detail/g/gogh_van/01/2hague06.jpg,"['\nCatalogue numbers: F 18, JH 397.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Farmhouses among Trees,"September 1883, The Hague","Oil on canvas on panel, 29 x 40 cm",Private collection,painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 18, JH 397."
17133,https://www.wga.hu/detail/g/gogh_van/02/nuenen07.jpg,"['\nCatalogue numbers: F 38, JH 504.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Cart with Red and White Ox,"July 1884, Nuenen","Oil on canvas on panel, 57 x 83 cm","Rijksmuseum Kröller-Müller, Otterlo",painting,other,Dutch,1851-1900,"Catalogue numbers: F 38, JH 504."
17135,https://www.wga.hu/detail/g/gogh_van/02/nuenen09.jpg,"['\nCatalogue numbers: F 122, JH 522.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Avenue of Poplars in Autumn,"October 1884, Nuenen","Oil on canvas on panel, 99 x 66 cm","Van Gogh Museum, Amsterdam",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 122, JH 522."
17136,https://www.wga.hu/detail/g/gogh_van/02/nuenen10.jpg,"['\nCatalogue numbers: F 54, JH 536.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Still-Life with Clogs and Pots,"November 1884, Nuenen","Oil on canvas on panel, 42 x 54 cm","Centraal Museum, Utrecht",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 54, JH 536."
17146,https://www.wga.hu/detail/g/gogh_van/02/nuenen20.jpg,"['\nCatalogue numbers: F 142, JH 807.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Cottage with Woman Digging,"June 1885, Nuenen","Oil on canvas on cardboard, 31 x 42 cm","Art Institute, Chicago",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 142, JH 807."
17164,https://www.wga.hu/detail/g/gogh_van/04/antwerp3.jpg,"['\nCatalogue numbers: F 174, JH 978.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Head of an Old Woman with White Cap (The Midwife),"December 1885, Antwerp","Oil on canvas, 50 x 40 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 174, JH 978."
17165,https://www.wga.hu/detail/g/gogh_van/04/antwerp4.jpg,"['\nCatalogue numbers: F 205, JH 971.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Portrait of an Old Man with Beard,"December 1885, Antwerp","Oil on canvas, 45 x 34 cm","Van Gogh Museum, Amsterdam",painting,portrait,Dutch,1851-1900,"Catalogue numbers: F 205, JH 971."
17166,https://www.wga.hu/detail/g/gogh_van/04/antwerp5.jpg,"['\nCatalogue numbers: F 260, JH 970.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Backyards of Old Houses in Antwerp in the Snow,"December 1885, Antwerp","Oil on canvas, 44 x 34 cm","Van Gogh Museum, Amsterdam",painting,landscape,Dutch,1851-1900,"Catalogue numbers: F 260, JH 970."
17169,https://www.wga.hu/detail/g/gogh_van/05/flower02.jpg,"['\nCatalogue numbers: F 278, JH 1103.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","Vase with Poppies, Cornflowers, Peonies and Chrysanthemums","Summer 1886, Paris","Oil on canvas, 99 x 79 cm","Van Gogh Museum, Amsterdam",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 278, JH 1103."
17170,https://www.wga.hu/detail/g/gogh_van/05/flower03.jpg,"['\nCatalogue numbers: F 596, JH 1135.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Vase with Carnations and Other Flowers,"Summer 1886, Paris","Oil on canvas, 61 x 38 cm",Private collection,painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 596, JH 1135."
17171,https://www.wga.hu/detail/g/gogh_van/05/flower04.jpg,"['\nCatalogue numbers: F 251, JH 1142.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Vase with Zinnias and Other Flowers,"Summer 1886, Paris","Oil on canvas, 50 x 61 cm","National Gallery of Canada, Ottawa",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 251, JH 1142."
17172,https://www.wga.hu/detail/g/gogh_van/05/flower05.jpg,"['\nCatalogue numbers: F 279, JH 1104.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Vase with Red Poppies,"Summer 1886, Paris","Oil on canvas, 56 x 46 cm","Wadsworth Atheneum, Hartford",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 279, JH 1104."
17182,https://www.wga.hu/detail/g/gogh_van/05/still01.jpg,"['\nCatalogue numbers: F 216j, JH 1059.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Plaster Statuette of a Female Torso,"Spring 1886, Paris","Oil on cardboard, 35 x 27 cm","Van Gogh Museum, Amsterdam",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 216j, JH 1059."
17183,https://www.wga.hu/detail/g/gogh_van/05/still02.jpg,"['\nCatalogue numbers: F 285, JH 1118.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","Still-Life with Mackerels, Lemons and Tomatoes","Summer 1886, Paris","Oil on canvas, 39 x 57 cm","Oskar Reinhart Collection, Winterthur",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 285, JH 1118."
17184,https://www.wga.hu/detail/g/gogh_van/05/still03.jpg,"['\nCatalogue numbers: F 219, JH 1117.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)","Still-Life with Apples, Meat and a Roll","Summer 1886, Paris","Oil on canvas, 46 x 55 cn","Van Gogh Museum, Amsterdam",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 219, JH 1117."
17187,https://www.wga.hu/detail/g/gogh_van/05/still06.jpg,"['\nCatalogue numbers: F 338, JH 1237.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Still-Life with Lemons on a Plate,"March-April 1887, Paris","Oil on canvas, 21 x 27 cm","Van Gogh Museum, Amsterdam",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 338, JH 1237."
17188,https://www.wga.hu/detail/g/gogh_van/05/still07.jpg,"['\nCatalogue numbers: F 340, JH 1239.\r\n\r\n\n']","GOGH, Vincent van","(b. 1853, Groot Zundert, d. 1890, Auvers-sur-Oise)",Still-Life with Decanter and Lemons on a Plate,"Spring 1887, Paris","Oil on canvas, 47 x 39 cm","Van Gogh Museum, Amsterdam",painting,still-life,Dutch,1851-1900,"Catalogue numbers: F 340, JH 1239."
